Defect ID,Test Case ID,Test Case Description,Category,Defect Status,Severity,Priority,Assigned To,Reported Date,Summary,Actual Result (Evidence),Test File Path,Duration (ms)
BUG-001,TC-2.7.1-15,TC-2.7.1-15: Fail payment with non-existent auctionId,2.7.1 Create Payment (Mocked Stripe),Open,Critical (S1),High (P1),Developer-TEAM1016,29-Dec-25,Error: expect(received).toContain(expected) // indexOf,"Expected value: 201 | Received array: [404, 400]",test/integration/2.7-payment/2.7.1-create-payment.spec.ts,1390
BUG-002,TC-2.7.1-16,TC-2.7.1-16: Fail payment with non-existent registrationId,2.7.1 Create Payment (Mocked Stripe),Open,Critical (S1),High (P1),Developer-TEAM1016,29-Dec-25,Error: expect(received).toContain(expected) // indexOf,"Expected value: 201 | Received array: [404, 400]",test/integration/2.7-payment/2.7.1-create-payment.spec.ts,1041
BUG-003,TC-5.2.3-03,TC-5.2.3-03: Cannot transition backwards (success → live),5.2.3 Auction State Transitions,Open,Critical (S1),High (P1),Developer-TEAM1016,29-Dec-25,Error: expect(received).toContain(expected) // indexOf,"Expected value: 200 | Received array: [400, 403]",test/integration/5.2-integration/5.2.3-state-transitions.spec.ts,55
BUG-004,TC-5.2.3-04,TC-5.2.3-04: Cancelled is terminal state,5.2.3 Auction State Transitions,Open,Critical (S1),High (P1),Developer-TEAM1016,29-Dec-25,Error: expect(received).toContain(expected) // indexOf,"Expected value: 200 | Received array: [400, 403]",test/integration/5.2-integration/5.2.3-state-transitions.spec.ts,54
BUG-005,TC-2.6.2-08,TC-2.6.2-08: Fail finalize live auction,2.6.2 Finalize Auction,Open,Critical (S1),High (P1),Developer-TEAM1016,29-Dec-25,"Error: expected 400 ""Bad Request"", got 200 ""OK""","Error: expected 400 ""Bad Request"", got 200 ""OK"" |     at Object.<anonymous> (C:\Sem1_Year3_Projects\auction-hub\test\integration\2.6-auction-finalization\2.6.2-finalize.spec.ts:230:10) | ----",test/integration/2.6-auction-finalization/2.6.2-finalize.spec.ts,102
BUG-006,TC-4.1.2-03,TC-4.1.2-03: Cannot set status directly on auction update,4.1.2 Mass Assignment,Open,Critical (S1),High (P1),Developer-TEAM1016,29-Dec-25,Error: expect(received).toBe(expected) // Object.is equality,"Expected: ""scheduled"" | Received: ""success""",test/integration/4.1-security/4.1.2-mass-assignment.spec.ts,73
BUG-007,TC-2.3.5-03,TC-2.3.5-03: Fail delete auction with participants,2.3.5 Delete Auction,Open,Critical (S1),High (P1),Developer-TEAM1016,29-Dec-25,Error: expect(received).toContain(expected) // indexOf,"Expected value: 200 | Received array: [400, 409]",test/integration/2.3-auction-management/2.3.5-delete-auction.spec.ts,71
BUG-008,TC-2.5.2-02,TC-2.5.2-02: Verify Admin denies bid with reason,2.5.2 Bid Denial,Open,Critical (S1),High (P1),Developer-TEAM1016,29-Dec-25,Error: expect(received).toBe(expected) // Object.is equality,Expected: false | Received: true,test/integration/2.5-bidding-system/2.5.2-bid-denial.spec.ts,140
BUG-009,TC-2.5.2-08,TC-2.5.2-08: Verify next highest bid promoted when winning denied,2.5.2 Bid Denial,Open,Critical (S1),High (P1),Developer-TEAM1016,29-Dec-25,Error: expect(received).toBe(expected) // Object.is equality,Expected: true | Received: false,test/integration/2.5-bidding-system/2.5.2-bid-denial.spec.ts,102
BUG-010,TC-2.6.2-09,TC-2.6.2-09: Fail Bidder creates auction,2.3.3 Create Auction,Open,Critical (S1),High (P1),Developer-TEAM1016,29-Dec-25,"Error: expected 403 ""Forbidden"", got 201 ""Created""","Error: expected 403 ""Forbidden"", got 201 ""Created"" |     at Object.<anonymous> (C:\Sem1_Year3_Projects\auction-hub\test\integration\2.3-auction-management\2.3.3-create-auction.spec.ts:136:10) | ----",test/integration/2.3-auction-management/2.3.3-create-auction.spec.ts,88
BUG-011,TC-2.3.3-05,TC-2.3.3-05: Fail with negative starting price,2.3.3 Create Auction,Open,Critical (S1),High (P1),Developer-TEAM1016,29-Dec-25,"Error: expected 400 ""Bad Request"", got 201 ""Created""","Error: expected 400 ""Bad Request"", got 201 ""Created"" |     at Object.<anonymous> (C:\Sem1_Year3_Projects\auction-hub\test\integration\2.3-auction-management\2.3.3-create-auction.spec.ts:184:10) | ----",test/integration/2.3-auction-management/2.3.3-create-auction.spec.ts,78
