No,Req ID,Req Desc,TC ID,TC Desc,Test Design,Test Designer,UAT Test Req?,Test Execution,Defects?,Defect ID,Defect Status,Req Coverage Status
1,3.1.1,Register User in System (Actor: Guest),"TC-3.1.1-01, TC-3.1.1-02, TC-3.1.1-03, TC-3.1.1-04","Verify Individual/Business registration success/failure scenarios",Complete,QA Team,Yes,Pending,,,No,Covered
2,3.1.2,Get Current User Info (Actor: All Authenticated),"TC-3.1.2-01, TC-3.1.2-02","Verify get user info with/without authentication",Complete,QA Team,Yes,Pending,,,No,Covered
3,3.1.3,Promote User Role (Actor: Admin; Super Admin),"TC-3.1.3-01, TC-3.1.3-02, TC-3.1.3-03","Verify role promotion permissions by Super Admin/Admin/Bidder",Complete,QA Team,Yes,Pending,,,No,Covered
4,3.1.4,Ban User (Actor: Admin; Super Admin),"TC-3.1.4-01, TC-3.1.4-02","Verify Admin can ban user; Bidder cannot ban",Complete,QA Team,Yes,Pending,,,No,Covered
5,3.1.5,Verify User Identity KYC (Actor: Admin; Super Admin),"TC-3.1.5-01, TC-3.1.5-02","Verify KYC verification by Admin; non-admin restriction",Complete,QA Team,Yes,Pending,,,No,Covered
6,3.2.1,Register Account (Actor: Guest),"TC-3.2.1-01, TC-3.2.1-02","Verify account registration success/invalid email failure",Complete,QA Team,Yes,Pending,,,No,Covered
7,3.2.2,Login (Actor: Guest),"TC-3.2.2-01, TC-3.2.2-02, TC-3.2.2-03","Verify login success/wrong password/unverified email",Complete,QA Team,Yes,Pending,,,No,Covered
8,3.2.3,Forgot Password (Actor: Guest),"TC-3.2.3-01, TC-3.2.3-02","Verify forgot password email sent/non-existent email handling",Complete,QA Team,Yes,Pending,,,No,Covered
9,3.2.4,Resend Verification Email (Actor: Guest),"TC-3.2.4-01, TC-3.2.4-02","Verify resend verification for unverified/already verified email",Complete,QA Team,Yes,Pending,,,No,Covered
10,3.2.5,Verify Email POST (Actor: Guest),"TC-3.2.5-01, TC-3.2.5-02","Verify email verification with valid/invalid token",Complete,QA Team,Yes,Pending,,,No,Covered
11,3.2.6,Verify Email Link Click (Actor: Guest),"TC-3.2.6-01, TC-3.2.6-02","Verify email via link click with valid/expired token",Complete,QA Team,Yes,Pending,,,No,Covered
12,3.3.1,List All Auctions (Actor: All Public),"TC-3.3.1-01, TC-3.3.1-02","Verify list all auctions publicly with/without filters",Complete,QA Team,Yes,Pending,,,No,Covered
13,3.3.2,Get Auction Details (Actor: All Public),"TC-3.3.2-01, TC-3.3.2-02, TC-3.3.2-03","Verify get auction by valid/invalid/non-existent ID",Complete,QA Team,Yes,Pending,,,No,Covered
14,3.3.3,Create Auction (Actor: Auctioneer; Admin),"TC-3.3.3-01, TC-3.3.3-02, TC-3.3.3-03","Verify Auctioneer creates auction; missing fields; Bidder restriction",Complete,QA Team,Yes,Pending,,,No,Covered
15,3.3.4,Update Auction (Actor: Auctioneer; Admin),"TC-3.3.4-01, TC-3.3.4-02","Verify update scheduled auction; fail update live auction",Complete,QA Team,Yes,Pending,,,No,Covered
16,3.3.5,Delete Auction (Actor: Auctioneer; Admin),"TC-3.3.5-01, TC-3.3.5-02","Verify delete scheduled auction; fail delete auction with bids",Complete,QA Team,Yes,Pending,,,No,Covered
17,3.3.6,Update Auction Relations (Actor: Auctioneer; Admin),"TC-3.3.6-01, TC-3.3.6-02","Verify update auction relations with valid/invalid ID",Complete,QA Team,Yes,Pending,,,No,Covered
18,3.4.1,Register for Auction (Actor: Bidder),"TC-3.4.1-01, TC-3.4.1-02, TC-3.4.1-03","Verify bidder registration; deadline failure; duplicate failure",Complete,QA Team,Yes,Pending,,,No,Covered
19,3.4.2,Withdraw Registration (Actor: Bidder),"TC-3.4.2-01, TC-3.4.2-02","Verify withdrawal before/after check-in",Complete,QA Team,Yes,Pending,,,No,Covered
20,3.4.3,Check-in for Auction (Actor: Bidder),"TC-3.4.3-01, TC-3.4.3-02, TC-3.4.3-03","Verify check-in within/outside window; without confirmation",Complete,QA Team,Yes,Pending,,,No,Covered
21,3.4.4,Submit Deposit Payment (Actor: Bidder),"TC-3.4.4-01, TC-3.4.4-02","Verify submit deposit with/without document verification",Complete,QA Team,Yes,Pending,,,No,Covered
22,3.4.5,Verify Deposit Payment (Actor: Bidder),"TC-3.4.5-01, TC-3.4.5-02","Verify deposit payment verification success/incomplete",Complete,QA Team,Yes,Pending,,,No,Covered
23,3.4.6,View Own Registrations (Actor: Bidder),"TC-3.4.6-01, TC-3.4.6-02","Verify view own registrations; fail view others",Complete,QA Team,Yes,Pending,,,No,Covered
24,3.4.7,Get Registration for Auction (Actor: Bidder),"TC-3.4.7-01, TC-3.4.7-02","Verify get registration for registered/non-registered auction",Complete,QA Team,Yes,Pending,,,No,Covered
25,3.4.8,List All Registrations (Actor: Admin; Auctioneer),"TC-3.4.8-01, TC-3.4.8-02","Verify Admin lists all registrations; Bidder restriction",Complete,QA Team,Yes,Pending,,,No,Covered
26,3.4.9,Approve Registration (Actor: Admin; Auctioneer),"TC-3.4.9-01, TC-3.4.9-02","Verify approve pending/already approved registration",Complete,QA Team,Yes,Pending,,,No,Covered
27,3.4.10,Reject Registration (Actor: Admin; Auctioneer),"TC-3.4.10-01, TC-3.4.10-02","Verify reject with/without reason",Complete,QA Team,Yes,Pending,,,No,Covered
28,3.4.11,Verify Documents Tier 1 (Actor: Admin; Auctioneer),"TC-3.4.11-01, TC-3.4.11-02","Verify documents Tier 1 with/without submission",Complete,QA Team,Yes,Pending,,,No,Covered
29,3.4.12,Reject Documents (Actor: Admin; Auctioneer),"TC-3.4.12-01, TC-3.4.12-02","Verify reject documents submitted/already verified",Complete,QA Team,Yes,Pending,,,No,Covered
30,3.4.13,Final Approval Tier 2 (Actor: Admin; Auctioneer),"TC-3.4.13-01, TC-3.4.13-02","Verify final approval with/without deposit payment",Complete,QA Team,Yes,Pending,,,No,Covered
31,3.5.1,Place Manual Bid (Actor: Bidder),"TC-3.5.1-01, TC-3.5.1-02, TC-3.5.1-03, TC-3.5.1-04, TC-3.5.1-05","Verify first bid; subsequent bid; below minimum; not live; without check-in",Complete,QA Team,Yes,Pending,,,No,Covered
32,3.5.2,Deny Bid (Actor: Admin; Auctioneer),"TC-3.5.2-01, TC-3.5.2-02, TC-3.5.2-03","Verify Admin denies bid; withdrawn bid; Bidder restriction",Complete,QA Team,Yes,Pending,,,No,Covered
33,3.5.3,Join Auction Room (Actor: Bidder),"TC-3.5.3-01, TC-3.5.3-02","Verify join auction room via WebSocket success/non-existent",Complete,QA Team,Yes,Pending,,,No,Covered
34,3.5.4,Leave Auction Room (Actor: Bidder),"TC-3.5.4-01, TC-3.5.4-02","Verify leave auction room success/never joined",Complete,QA Team,Yes,Pending,,,No,Covered
35,3.5.5,Receive Auction State (Actor: Bidder),"TC-3.5.5-01, TC-3.5.5-02","Verify receive auction state on join with required fields",Complete,QA Team,Yes,Pending,,,No,Covered
36,3.5.6,Receive New Bid Notification (Actor: Bidder),"TC-3.5.6-01, TC-3.5.6-02","Verify receive new bid notification with correct bidder info",Complete,QA Team,Yes,Pending,,,No,Covered
